store_id,zone_name,machine_project_id,fleet_project_id,cluster_name,location,node_count,cluster_ipv4_cidr,services_ipv4_cidr,external_load_balancer_ipv4_address_pools,sync_repo,sync_branch,sync_dir,secrets_project_id,git_token_secrets_manager_name,cluster_version,maintenance_window_start,maintenance_window_end,maintenance_window_recurrence,maintenance_exclusion_name_1,maintenance_exclusion_start_1,maintenance_exclusion_end_1,subnet_vlans,recreate_on_delete,enable_robin_cns
zone-14,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-14,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-14/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-bdb9a7af-da82-4f98-ba76-750f587bde74,us-west1-edge-nqn15706,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-15,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-15/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-16,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-16,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-16/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-17,us-west1-edge-nqn70947,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-17,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-17/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-18,us-west1-edge-nqn32398,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-18,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-18/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-19,us-west1-edge-nqn18208,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-19,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-19/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-20,us-west1-edge-nqn45676,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-20,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-20/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-21,us-west1-edge-nqn84216,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-21,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-21/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-22,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-22,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-22/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-23,us-west1-edge-nqn59397,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-23,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-23/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-24,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-24,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-24/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-25,,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-25,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-25/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-26,us-west1-edge-nqn92689,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-26,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-26/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
zone-27,us-west1-edge-nqn77301,gmec-edgesites-scale-5,uipr-scale-test-3,acp-scale-test-cluster-27,us-west1,3,172.16.0.0/17,192.168.30.0/23,10.200.0.21-10.200.0.22,https://gitlab.com/gcp-solutions-public/retail-edge/gdce-shyguy-internal/primary-root-repo,main,/config/clusters/acp-scale-test-cluster-27/meta,cloud-alchemists-sandbox,acp-configsync-scale-test,1.13.0-gdce.68,,,,,,,100,true,false
